metric,mean,std,ci_lower,ci_upper,median
auc,0.8078617303466201,0.006200744124536586,0.796289074336499,0.820162476605934,0.8080288235855233
precision,0.7207661322592281,0.009263048662775058,0.7036328678605109,0.7392888477496686,0.7205972720919585
recall,0.7459286022509892,0.008777910430553044,0.7276574195421003,0.7637755656002201,0.7459618513566948
f1,0.7330901697057286,0.007168950520383289,0.7191830028973771,0.7476664390585291,0.7330279755580074
mcc,0.4573626000486664,0.01313049640156981,0.43050471442754507,0.48425604073526374,0.45736791950379485
