metric,mean,std,ci_lower,ci_upper,median
auc,0.7949599245919385,0.005630270281343209,0.7840003993848036,0.8056769808011133,0.7947372853898244
precision,0.7305906713355257,0.00817594511939436,0.7137610471545273,0.7469826289551011,0.7305153544961132
recall,0.7072710365907103,0.008292949208266152,0.6910805839891662,0.7245326913740088,0.7073381621309973
f1,0.7187084282461128,0.006627743300382473,0.7055173746783356,0.7317870183890367,0.7186109118926565
mcc,0.44700910834790714,0.011480822607416261,0.4246677643366219,0.4701067575167107,0.4468611945163765
