metric,mean,std,ci_lower,ci_upper,median
auc,0.9607034842751139,0.0023455283744762516,0.9559601661649606,0.9649763912088652,0.9607434071168947
precision,0.9374362061427665,0.0046123510791020806,0.9282004039408286,0.9460692826671016,0.9374652349060251
recall,0.869254530888383,0.006218573371542231,0.8573421332828335,0.8809370437056617,0.8693046095593076
f1,0.9020434456652101,0.0041486464571561694,0.8940825963267536,0.9101412831354692,0.9020978836604885
mcc,0.8134269834579054,0.007520932103263926,0.7982917792526987,0.8283374900557744,0.8136486441773785
