metric,mean,std,ci_lower,ci_upper,median
auc,0.6812984630671677,0.007242539480084005,0.6674101012043274,0.6943434293186393,0.6811799378838788
precision,0.626604352873987,0.008919918681124484,0.6102096440466832,0.6443306998532841,0.6264240202151012
recall,0.642882014812272,0.009000307813838005,0.6257190715953614,0.6604683144152761,0.6430284343953409
f1,0.6346014036465717,0.007517308356600404,0.6202070564287264,0.6495384188056953,0.6347003171962501
mcc,0.2599016379415684,0.012898162959036013,0.23615245562424006,0.2837205888970834,0.25984429990618685
