metric,mean,std,ci_lower,ci_upper,median
auc,0.8294050765215055,0.005488252385618961,0.818213012922018,0.8396463910708509,0.829467371925546
precision,0.7192739210808374,0.008750484700137461,0.7010550996483002,0.7367807266509925,0.7192914988778372
recall,0.7755635897276486,0.008346887037484572,0.7585907208978464,0.7912468913444775,0.7756616079267529
f1,0.7463250266593384,0.006967153325406111,0.7321921891521,0.7599379670824448,0.7462776235750361
mcc,0.4742681252302001,0.012652775849378375,0.45121440014628994,0.4993681818349072,0.4739125875687349
