metric,mean,std,ci_lower,ci_upper,median
auc,0.8872115530985581,0.004619745821775009,0.8775811267489891,0.8958574283712821,0.8874741453669328
precision,0.7774085377988138,0.008238867326932301,0.759743962187484,0.7936833324687852,0.777622508808166
recall,0.8252127227076613,0.00781097267369868,0.8094027933232242,0.8403409821780535,0.8251820944053072
f1,0.8005643098706,0.006187515132220348,0.7885838890402107,0.812045973226525,0.8006127822624484
mcc,0.5903309040728356,0.011620867789216742,0.5673652393017858,0.6125417964920321,0.5907426618530303
