Model,Model_Name,Function_Mean,Function_Max,Class_Mean,Class_Max,Overall_Mean
gpt-3-5,GPT-3.5,0.9800045565581895,3.7945848578690655,0.38946629816227174,1.034343658456889,0.5978915658314191
claude-4-5-haiku,Claude 4.5 Haiku,0.25153265169275607,0.6198883942609456,0.37343375381628363,1.8065154519609494,0.32772084051996075
gpt-oss,GPT-OSS,0.3049322181611677,0.565799584223301,0.26573799877769916,0.5501754997240147,0.28141568653108656
claude-3-haiku,Claude 3 Haiku,0.19042574276545257,0.3368595134673449,0.22660845637393937,0.602897732257098,0.2145475518377771
