metric,mean,std,ci_lower,ci_upper,median
auc,0.8062531044979899,0.006131231071134934,0.7944555611666586,0.818156752558278,0.8062656913475063
precision,0.7840252657369862,0.009738123410112444,0.7646097351660355,0.8032758264864492,0.7840150053590569
recall,0.6053917219046164,0.010159741813762746,0.5861269511845574,0.6267301740499504,0.605356775062245
f1,0.6831734022391495,0.008369540863296051,0.6666666666666666,0.7004900214583523,0.6830549010027346
mcc,0.45035150022781306,0.013024743088722387,0.42539273812372075,0.47653805199904054,0.4500661947669783
