metric,mean,std,ci_lower,ci_upper,median
auc,0.7133471010702087,0.006525310483515776,0.7006621716621427,0.7262142629150765,0.7134354090841739
precision,0.6606416969546017,0.008719160904316086,0.6429294534564153,0.6765664145095115,0.660523426011538
recall,0.6619889562667564,0.008302945717930882,0.645457844221477,0.6771177216151297,0.6619352490324102
f1,0.6612756361993423,0.00683924797912545,0.6476782183310071,0.6745852339689726,0.6614658305108665
mcc,0.3220379358866874,0.011861042849395926,0.29911069312444966,0.34485803709548274,0.3223546438762567
